cz,pop,parent,child,prop
4902,92131,1,1,0.4
4902,92131,2,1,0.29
4902,92131,3,1,0.178
4902,92131,4,1,0.132
4902,92131,5,1,0.106
4903,44884,1,1,0.332
4903,44884,2,1,0.232
4903,44884,3,1,0.154
4903,44884,4,1,0.111
4903,44884,5,1,0.085
5000,197774,1,1,0.352
5000,197774,2,1,0.246
5000,197774,3,1,0.166
5000,197774,4,1,0.116
5000,197774,5,1,0.111
5100,129508,1,1,0.346
5100,129508,2,1,0.233
5100,129508,3,1,0.178
5100,129508,4,1,0.125
5100,129508,5,1,0.087
5201,54214,1,1,0.311
5201,54214,2,1,0.241
5201,54214,3,1,0.129
5201,54214,4,1,0.091
5201,54214,5,1,0.071
5202,1154338,1,1,0.364
5202,1154338,2,1,0.288
5202,1154338,3,1,0.206
5202,1154338,4,1,0.151
5202,1154338,5,1,0.118
5300,138746,1,1,0.377
5300,138746,2,1,0.294
5300,138746,3,1,0.202
5300,138746,4,1,0.146
5300,138746,5,1,0.12
5401,164944,1,1,0.364
5401,164944,2,1,0.236
5401,164944,3,1,0.176
5401,164944,4,1,0.116
5401,164944,5,1,0.116
5402,92394,1,1,0.302
5402,92394,2,1,0.209
5402,92394,3,1,0.133
5402,92394,4,1,0.1
5402,92394,5,1,0.121
5500,159374,1,1,0.364
5500,159374,2,1,0.243
5500,159374,3,1,0.18
5500,159374,4,1,0.15
5500,159374,5,1,0.11
5600,1246338,1,1,0.387
5600,1246338,2,1,0.267
5600,1246338,3,1,0.194
5600,1246338,4,1,0.146
5600,1246338,5,1,0.118
5700,130610,1,1,0.339
5700,130610,2,1,0.252
5700,130610,3,1,0.173
5700,130610,4,1,0.127
5700,130610,5,1,0.109
5800,138212,1,1,0.343
5800,138212,2,1,0.25
5800,138212,3,1,0.176
5800,138212,4,1,0.129
5800,138212,5,1,0.11
5900,252059,1,1,0.353
5900,252059,2,1,0.247
5900,252059,3,1,0.18
5900,252059,4,1,0.136
5900,252059,5,1,0.115
6000,519583,1,1,0.36
6000,519583,2,1,0.267
6000,519583,3,1,0.18
6000,519583,4,1,0.145
6000,519583,5,1,0.129
6100,304068,1,1,0.324
6100,304068,2,1,0.23
6100,304068,3,1,0.166
6100,304068,4,1,0.125
6100,304068,5,1,0.112
6200,230941,1,1,0.324
6200,230941,2,1,0.227
6200,230941,3,1,0.152
6200,230941,4,1,0.115
6200,230941,5,1,0.101
6301,84309,1,1,0.339
6301,84309,2,1,0.245
6301,84309,3,1,0.18
6301,84309,4,1,0.121
6301,84309,5,1,0.113
6302,98362,1,1,0.327
6302,98362,2,1,0.237
6302,98362,3,1,0.152
6302,98362,4,1,0.138
6302,98362,5,1,0.116
6401,490863,1,1,0.375
6401,490863,2,1,0.278
6401,490863,3,1,0.189
6401,490863,4,1,0.146
6401,490863,5,1,0.115
6402,104194,1,1,0.346
6402,104194,2,1,0.239
6402,104194,3,1,0.159
6402,104194,4,1,0.132
6402,104194,5,1,0.094
6501,43254,1,1,0.326
6501,43254,2,1,0.213
6501,43254,3,1,0.166
6501,43254,4,1,0.141
6501,43254,5,1,0.076
